date,weekday,hour,month,year,dayofyear,weekofyear
11,6,0,1,2015,11,2
12,0,0,1,2015,12,3
13,1,0,1,2015,13,3
14,2,0,1,2015,14,3
15,3,0,1,2015,15,3
16,4,0,1,2015,16,3
17,5,0,1,2015,17,3
18,6,0,1,2015,18,3
19,0,0,1,2015,19,4
20,1,0,1,2015,20,4
21,2,0,1,2015,21,4
22,3,0,1,2015,22,4
23,4,0,1,2015,23,4
24,5,0,1,2015,24,4
25,6,0,1,2015,25,4
26,0,0,1,2015,26,5
27,1,0,1,2015,27,5
28,2,0,1,2015,28,5
29,3,0,1,2015,29,5
30,4,0,1,2015,30,5
31,5,0,1,2015,31,5
1,6,0,2,2015,32,5
2,0,0,2,2015,33,6
3,1,0,2,2015,34,6
4,2,0,2,2015,35,6
5,3,0,2,2015,36,6
6,4,0,2,2015,37,6
7,5,0,2,2015,38,6
8,6,0,2,2015,39,6
9,0,0,2,2015,40,7
10,1,0,2,2015,41,7
11,2,0,2,2015,42,7
12,3,0,2,2015,43,7
13,4,0,2,2015,44,7
14,5,0,2,2015,45,7
15,6,0,2,2015,46,7
16,0,0,2,2015,47,8
17,1,0,2,2015,48,8
18,2,0,2,2015,49,8
19,3,0,2,2015,50,8
20,4,0,2,2015,51,8
21,5,0,2,2015,52,8
22,6,0,2,2015,53,8
23,0,0,2,2015,54,9
24,1,0,2,2015,55,9
25,2,0,2,2015,56,9
26,3,0,2,2015,57,9
27,4,0,2,2015,58,9
28,5,0,2,2015,59,9
1,6,0,3,2015,60,9
2,0,0,3,2015,61,10
3,1,0,3,2015,62,10
4,2,0,3,2015,63,10
5,3,0,3,2015,64,10
6,4,0,3,2015,65,10
7,5,0,3,2015,66,10
8,6,0,3,2015,67,10
9,0,0,3,2015,68,11
10,1,0,3,2015,69,11
11,2,0,3,2015,70,11
12,3,0,3,2015,71,11
13,4,0,3,2015,72,11
14,5,0,3,2015,73,11
15,6,0,3,2015,74,11
16,0,0,3,2015,75,12
17,1,0,3,2015,76,12
18,2,0,3,2015,77,12
19,3,0,3,2015,78,12
20,4,0,3,2015,79,12
21,5,0,3,2015,80,12
22,6,0,3,2015,81,12
23,0,0,3,2015,82,13
24,1,0,3,2015,83,13
25,2,0,3,2015,84,13
26,3,0,3,2015,85,13
27,4,0,3,2015,86,13
28,5,0,3,2015,87,13
29,6,0,3,2015,88,13
30,0,0,3,2015,89,14
31,1,0,3,2015,90,14
1,2,0,4,2015,91,14
2,3,0,4,2015,92,14
3,4,0,4,2015,93,14
4,5,0,4,2015,94,14
5,6,0,4,2015,95,14
6,0,0,4,2015,96,15
7,1,0,4,2015,97,15
8,2,0,4,2015,98,15
9,3,0,4,2015,99,15
10,4,0,4,2015,100,15
11,5,0,4,2015,101,15
12,6,0,4,2015,102,15
13,0,0,4,2015,103,16
14,1,0,4,2015,104,16
15,2,0,4,2015,105,16
16,3,0,4,2015,106,16
17,4,0,4,2015,107,16
18,5,0,4,2015,108,16
19,6,0,4,2015,109,16
20,0,0,4,2015,110,17
21,1,0,4,2015,111,17
22,2,0,4,2015,112,17
23,3,0,4,2015,113,17
24,4,0,4,2015,114,17
25,5,0,4,2015,115,17
26,6,0,4,2015,116,17
27,0,0,4,2015,117,18
28,1,0,4,2015,118,18
29,2,0,4,2015,119,18
30,3,0,4,2015,120,18
1,4,0,5,2015,121,18
2,5,0,5,2015,122,18
3,6,0,5,2015,123,18
4,0,0,5,2015,124,19
5,1,0,5,2015,125,19
6,2,0,5,2015,126,19
7,3,0,5,2015,127,19
8,4,0,5,2015,128,19
9,5,0,5,2015,129,19
10,6,0,5,2015,130,19
11,0,0,5,2015,131,20
12,1,0,5,2015,132,20
13,2,0,5,2015,133,20
14,3,0,5,2015,134,20
15,4,0,5,2015,135,20
16,5,0,5,2015,136,20
17,6,0,5,2015,137,20
18,0,0,5,2015,138,21
19,1,0,5,2015,139,21
20,2,0,5,2015,140,21
